order_id,product,category,price,quantity,order_date,customer_email
1,Wireless Mouse,Electronics,19.99,2,2024-01-05,alice@example.com
2,Yoga Mat,Fitness,twenty-five,1,2024-01-06,bob@example.com
3,Bluetooth Speaker,Electronics,45.00,N/A,2024-01-07,carol@example.com
4,Running Shoes,Fitness,unknown,1,2024-01-08,dave@example.com
5,Water Bottle,Fitness,12.75,3,2024-01-09,eve@example.com
6,Desk Lamp,Home,22.00,one,2024-01-10,frank@example.com
7,Notebook,Office,3.50,5,not-a-date,grace@example.com
8,Wireless Mouse,Electronics,19.99,1,2024-01-12,alice@example.com
9,Yoga Mat,Fitness,25.50,2,2024-01-13,heidi@example.com
10,Bluetooth Speaker,Electronics,forty-five,1,2024-01-14,ivan@example.com
