1,Wireless Mouse,Electronics,19.99,2,2024-01-05,alice@example.com
2,Yoga Mat,Fitness,25.50,1,2024-01-06,bob@example.com
3,Bluetooth Speaker,Electronics,45.00,,2024-01-07,carol@example.com
4,Running Shoes,Fitness,,1,2024-01-08,dave@example.com
5,Water Bottle,Fitness,12.75,3,2024-01-09,
6,Desk Lamp,Home,22.00,1,2024-01-10,frank@example.com
7,Notebook,Office,3.50,5,2024-01-11,grace@example.com
8,Wireless Mouse,Electronics,19.99,1,2024-01-12,alice@example.com
9,Yoga Mat,Fitness,25.50,2,,heidi@example.com
10,Bluetooth Speaker,Electronics,45.00,1,2024-01-14,ivan@example.com
